Player,Competetion,season,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_y,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x.1,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Home
Raúl Torrente,La-Liga,2021-2022,es ESP,CM,20-051,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,66.7,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,Atlético Madrid
Carlos Martín,La-Liga,2021-2022,es ESP,RB,19-212,6,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,2,50,0,2,0,1,1,,,,,,,,,,,,,,,,,,,,,Espanyol
Ilias Akhomach,La-Liga,2021-2022,ma MAR,RW,17-218,45,0,0,0,0,2,0,0,0,25,1,0,0,0.1,0.1,0,2,0,15,19,78.9,4,22,5,1,0,,,,,,,,,,,,,,,,,,,,,Celta Vigo
Jesús Vallejo,La-Liga,2021-2022,es ESP,CB,24-320,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,11,11,100,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
Tete Morente,La-Liga,2021-2022,es ESP,LM,24-352,45,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,4,0,30,35,85.7,7,29,5,1,1,,,,,,,,,,,,,,,,,,,,,Villarreal
Ousmane Dembélé,La-Liga,2021-2022,fr FRA,RW,24-196,25,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,5,6,83.3,0,8,3,1,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Miguel Juan Llambrich,La-Liga,2021-2022,es ESP,RB,25-314,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,6,66.7,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,Atlético Madrid
Fernando Calero,La-Liga,2021-2022,es ESP,CB,26-082,30,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,19,25,76,3,16,0,0,0,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
Ferran Jutglà,La-Liga,2021-2022,es ESP,LW,22-314,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0.1,1,0,3,5,60,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,Alavés
Samuel Umtiti,La-Liga,2021-2022,fr FRA,CB,28-028,90,0,0,0,0,0,0,1,0,57,2,0,1,0,0,0,0,0,42,50,84,6,29,3,0,0,,,,,,,,,,,,,,,,,,,,,Alavés
Gabriel Veiga,La-Liga,2021-2022,es ESP,RM,19-204,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Hugo Sotelo,La-Liga,2021-2022,es ESP,FW,17-363,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Rubén,La-Liga,2021-2022,es ESP,RB,20-316,17,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,3,9,33.3,0,8,1,1,1,,,,,,,,,,,,,,,,,,,,,Real Madrid
Mircea ?îrlea,La-Liga,2021-2022,ro ROU,RB,21-265,15,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,12,15,80,0,4,0,3,2,,,,,,,,,,,,,,,,,,,,,Espanyol
Adrián Butzke,La-Liga,2021-2022,es ESP,FW,22-264,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Getafe
Marc Pubill,La-Liga,2021-2022,es ESP,RB,18-183,90,0,0,0,0,1,1,0,0,50,2,1,0,0,0,0,2,1,27,39,69.2,1,29,1,3,0,,,,,,,,,,,,,,,,,,,,,Alavés
Ruben Lendinez,La-Liga,2021-2022,es ESP,RB,18-281,20,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,1,3,4,75,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,Getafe
Juanlu Sánchez,La-Liga,2021-2022,es ESP,RM,18-128,5,0,0,0,0,0,0,1,0,7,1,0,1,0,0,0,0,0,2,4,50,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,Athletic Club
Valentino Scotta,La-Liga,2021-2022,es ESP,RB,20-133,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Athletic Club
